Embarcacion,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
TASA 38,TARATA 3,3,T038,MARZO,0.0,0.0,0.0,5645.0,2135.0,0.0,0.0,7780.0,1790.37,3950.954132752298
TASA 41,DON ANGEL,4,T041,MARZO,900.0,0.0,0.0,0.0,0.0,0.0,310.0,1210.0,0.0,54.93620391562899
TASA 411,SIPAN,2,T411,MARZO,438.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,11.19049083298079
TASA 412,SECHIN II,2,T412,MARZO,333.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,121.16620669435693
TASA 413,OLMOS II,2,T413,MARZO,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,93.87362638282659
TASA 414,ESTRELLA,2,T414,MARZO,370.0,0.0,0.0,0.0,1320.0,0.0,0.0,1690.0,0.0,853.3300224472919
TASA 415,INDEPENDENCIA I,2,T415,MARZO,220.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,90.4935648669634
TASA 416,SALKANTAY,2,T416,MARZO,370.0,0.0,0.0,7410.0,3850.0,0.0,0.0,11630.0,1485.115,4915.700441840504
TASA 417,INANSA,2,T417,MARZO,770.0,0.0,0.0,0.0,1660.0,0.0,0.0,2430.0,0.0,1047.164950752952
TASA 418,INDEPENDENCIA II,2,T418,MARZO,30.0,0.0,0.0,7360.0,4740.0,0.0,0.0,12130.0,1793.27,4908.015607382533
TASA 419,DOÑA BEILA,4,T419,MARZO,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,64.67523186034128
TASA 42,CARMEN LUISA,4,T042,MARZO,580.0,0.0,0.0,0.0,0.0,3400.0,3220.0,7200.0,320.889,889.3837868156212
TASA 420,GUILLERMO,2,T420,MARZO,430.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,106.20075677534851
TASA 424,BRAVO 4,3,T424,MARZO,245.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,90.4935648669634
TASA 425,BRAVO 9,2,T425,MARZO,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,345.5257886710817
TASA 426,DON ENRIQUE,3,T426,MARZO,400.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,114.78726223783349
TASA 427,ESTHER 7,4,T427,MARZO,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,345.5257886710817
TASA 43,TASA 43,2,T043,MARZO,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,0.0,138.5104781758163
TASA 44,TASA 44,2,T044,MARZO,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,90.16358561587178
TASA 45,TASA 45,2,T045,MARZO,3500.0,0.0,0.0,5700.0,0.0,0.0,0.0,9200.0,228.77,2077.0417616814216
TASA 51,SIPESA 63,4,T051,MARZO,950.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,15.59537822047691
TASA 52,SIPESA 62,4,T052,MARZO,1465.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0,0.0,345.5257886710817
TASA 53,MARU 2,4,T053,MARZO,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,345.5257886710817
TASA 54,JAVIER,4,T054,MARZO,1930.0,0.0,0.0,0.0,0.0,6730.0,0.0,8660.0,371.13,1564.539496772244
TASA 55,TASA 55,4,T055,MARZO,1030.0,0.0,0.0,0.0,0.0,0.0,340.0,1370.0,73.268,73.7675449374707
TASA 56,SANTA ENMA,4,T056,MARZO,1480.0,0.0,0.0,0.0,0.0,0.0,270.0,1750.0,0.0,114.9342133596666
TASA 57,COPETSA 4,4,T057,MARZO,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,9.303399043737342
TASA 58,COPETSA 2,4,T058,MARZO,920.0,0.0,0.0,0.0,0.0,3050.0,2250.0,6220.0,263.809,1217.0169882268913
TASA 59,COPETSA 1,4,T059,MARZO,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.0,0.0,56.45740875262386
TASA 61,SEBASTIAN,2,T061,MARZO,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,345.5257886710817
TASA 71,DON ABRAHAM,4,T071,MARZO,2140.0,0.0,0.0,0.0,0.0,3705.0,0.0,5845.0,317.234,1312.505877024278
TASA 111,CAPLINA 8,1,T111,FEBRERO,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,0.0,2787.767979562887
TASA 17,RIMAC 4,1,T017,FEBRERO,295.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,124.1564572559014
TASA 21,LOBO I,3,T021,FEBRERO,506.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,106.20075677534851
TASA 210,PIZARRO 10,3,T210,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
TASA 218,BRAVO 10,1,T218,FEBRERO,940.0,0.0,0.0,2600.0,1200.0,0.0,0.0,4740.0,622.35,1873.154867268517
TASA 22,MAYTE,3,T022,FEBRERO,1547.0,0.0,0.0,1817.0,773.0,0.0,0.0,4137.0,924.2249999999999,2109.228985584657
TASA 220,MACABI 3,1,T220,FEBRERO,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,90.4935648669634
TASA 23,LOBO II,3,T023,FEBRERO,410.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,66.4422177290897
TASA 31,JAYANCA,1,T031,FEBRERO,460.0,0.0,0.0,2140.0,860.0,0.0,0.0,3460.0,556.365,1629.664197698661
TASA 310,ZAÑA,1,T310,FEBRERO,348.0,0.0,0.0,2000.0,1250.0,0.0,0.0,3598.0,1072.33,1908.848605222021
TASA 314,CONTUMAZA 4,1,T314,FEBRERO,405.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,106.20075677534851
TASA 315,BRAVO 7,1,T315,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
TASA 32,PEGASO,3,T032,FEBRERO,1656.0,0.0,0.0,2323.0,1510.0,0.0,0.0,5489.0,1259.25,3234.6071582001277
TASA 34,SAMOA,3,T034,FEBRERO,230.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,30.84211319509969
TASA 35,PUNTA SAL,3,T035,FEBRERO,350.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,121.16620669435693
TASA 36,FLAMINGO,3,T036,FEBRERO,650.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,247.5175788104989
